Post Date	Check	Description	Debit	Credit	Status	Balance
1/31/2025		402116 PURCHASE-SIG WIX.COM 14156399034 CA 60064724 402116	10.6		Posted	988.97
1/31/2025		381629 PURCHASE-SIG WIX.COM 14156399034 CA 82112528 381629	7.4		Posted	999.57
1/31/2025		STRIPE TRANSFER ST-K3F6C4L2V8X3		1.28	Posted	1006.97
1/24/2025		Wixcom Wixcom ST-V1G8Z3D7U2T6		1.34	Posted	1005.69
1/22/2025		Wixcom Wixcom ST-L9X4D4O4K0M7		19.12	Posted	1004.35
1/21/2025		PARK FCU ACH ORIGIN JODSON GRAVES	98		Posted	985.23
1/21/2025		472909 PURCHASE-RECUR VOLUNTRMATCH*PRE 4152416868 CA 57992692 472909	14.99		Posted	1083.23
1/17/2025		STRIPE TRANSFER ST-E9S0E0K9F7C3		37.84	Posted	1098.22
1/15/2025		Wixcom Wixcom ST-N6A4A8X2D4V6		4.55	Posted	1060.38
1/14/2025		451233 PURCHASE-RECUR SQSP* INV1653106 NEW YORK NY 20959668 451233	7.2		Posted	1055.83
1/13/2025		276542 PURCHASE-RECUR Microsoft-G07433 msbill.info WA 00634043 276542	6.48		Posted	1063.03
1/7/2025		PARK FCU ACH ORIGIN JODSON GRAVES	405.32		Posted	1069.51
1/6/2025		PARK FCU ACH ORIGIN JODSON GRAVES	100		Posted	1474.83
1/6/2025		808261 PURCHASE-RECUR WIX.COM 11550415 SAN FRANCISCO CA 43255153 808261	40.28		Posted	1574.83
1/6/2025		Wixcom Wixcom ST-F6X5H2G5X0O6		436.65	Posted	1615.11
1/3/2025		Deposit		1000	Posted	1178.46
12/19/2024		749826 PURCHASE-RECUR VOLUNTRMATCH*PRE 4152416868 CA 47093464 749826	14.99		Posted	178.46
12/18/2024		Wixcom Wixcom ST-B7K7L8S9V8J6		111.05	Posted	193.45
12/18/2024		STRIPE TRANSFER ST-F5B2E1Q1J7D6		37.84	Posted	82.4
12/16/2024		809299 PURCHASE-RECUR SQSP* INV1613361 NEW YORK NY 23516829 809299	7.2		Posted	44.56
12/12/2024		416958 PURCHASE-RECUR Microsoft-G07047 msbill.info WA 00373056 416958	6.48		Posted	51.76
12/6/2024		PARK FCU ACH ORIGIN JODSON GRAVES	100		Posted	58.24
12/5/2024		576775 PURCHASE-RECUR WIX.COM 14156399034 CA 60484479 576775	40.28		Posted	158.24
12/4/2024		Wixcom Wixcom ST-H6L6J4F2J4L8		174.48	Posted	198.52
11/29/2024		Wixcom Wixcom ST-P3D6B8E0P0X8		19.12	Posted	24.04
11/21/2024		PARK FCU ACH ORIGIN JODSON GRAVES	75		Posted	4.92
11/21/2024		GOOGLE ADWORDS:80 US0043PT4L		0.07	Posted	79.92
11/20/2024		PARK FCU ACH ORIGIN JODSON GRAVES	50		Posted	79.85
11/19/2024		STRIPE TRANSFER ST-H3D2N6E0Z4H3		37.84	Posted	129.85
11/18/2024		PARK FCU ACH ORIGIN JODSON GRAVES	28		Posted	92.01
11/18/2024		Wixcom Wixcom ST-B3D1G9C5S2Y8		91.94	Posted	120.01
11/14/2024		569816 PURCHASE-RECUR SQSP* INV1575493 NEW YORK NY 21464846 569816	7.2		Posted	28.07
11/13/2024		PARK FCU ACH ORIGIN JODSON GRAVES	106		Posted	35.27
11/13/2024		283031 PURCHASE-RECUR SHOPIFY* 2947326 ELK GROVE VIL IL 22934202 283031	41.34		Posted	141.27
11/13/2024		STRIPE TRANSFER ST-Y5T5D6H0S8V1		29.79	Posted	182.61
11/12/2024		184870 PURCHASE-RECUR Microsoft-G06668 msbill.info WA 00413085 184870	6.48		Posted	152.82
11/6/2024		Wixcom Wixcom ST-Y1U0P6P6L1I7		121.07	Posted	159.3
11/5/2024		429456 PURCHASE-RECUR WIX.COM 11449526 SAN FRANCISCO CA 42367871 429456	40.28		Posted	38.23
11/5/2024		517894 PURCHASE-RECUR Microsoft-G06398 msbill.info WA 00598043 517894	6.48		Posted	78.51
11/4/2024		Wixcom Wixcom ST-R8A2X1W4Z6T9		67.67	Posted	84.99
11/1/2024		PARK FCU ACH ORIGIN JODSON GRAVES	100		Posted	17.32
10/21/2024		PARK FCU ACH ORIGIN JODSON GRAVES	120		Posted	117.32
10/17/2024		STRIPE TRANSFER ST-L4M5M6B6B6D2		37.84	Posted	237.32
10/16/2024		Wixcom Wixcom ST-Q7H5X2J4O4R8		104.27	Posted	199.48
10/15/2024		PARK FCU ACH ORIGIN JODSON GRAVES	200		Posted	95.21
10/15/2024		623156 PURCHASE-RECUR SQSP* INV1536009 NEW YORK NY 13967829 623156	7.2		Posted	295.21
10/15/2024		273215 PURCHASE-RECUR SHOPIFY* 2841765 ELK GROVE VIL IL 23218106 273215	1.06		Posted	302.41
10/15/2024		Wixcom Wixcom ST-F3M9V7D6Z1L4		4.55	Posted	303.47
10/8/2024		271401 PURCHASE-SIG NTARI.ORG SAN FRANCISCO CA 04489260 271401	5		Posted	298.92
10/8/2024		STRIPE TRANSFER ST-T9K7Y8I8J8W7		29.79	Posted	303.92
10/7/2024		582983 PURCHASE-RECUR WIX.COM 11398729 SAN FRANCISCO CA 47283328 582983	40.28		Posted	274.13
10/7/2024		981774 PURCHASE-RECUR Microsoft-G06092 msbill.info WA 03366044 981774	6.48		Posted	314.41
10/4/2024		STRIPE TRANSFER ST-N4H0N5D3H3O9		94.74	Posted	320.89
10/2/2024		STRIPE TRANSFER ST-K3Z1O8J9M7A4		183.65	Posted	226.15
9/30/2024		GOOGLE ADWORDS:80 US0042UHJI	3.67		Posted	42.5
9/23/2024		GOOGLE ADWORDS:80 US0042MAYS	100		Posted	46.17
9/23/2024		GOOGLE ADWORDS:80 US0042TP5N	10		Posted	146.17
9/23/2024		GOOGLE ADWORDS:80 US0042PN7Z	10		Posted	156.17
9/20/2024		223184 PURCHASE-RECUR GOOGLE *Discord 650-253-0000 CA 47011673 223184	10.59		Posted	166.17
9/18/2024		PARK FCU ACH ORIGIN JODSON GRAVES	50		Posted	176.76
9/18/2024		STRIPE TRANSFER ST-C0U5S0Y8C9R6		137.1	Posted	226.76
9/16/2024		PARK FCU ACH ORIGIN JODSON GRAVES	42.9		Posted	89.66
9/16/2024		789657 PURCHASE-RECUR SQSP* INV1494941 NEW YORK NY 18822819 789657	7.2		Posted	132.56
9/16/2024		535478 PURCHASE-RECUR SHOPIFY* 2734809 ELK GROVE VIL IL 24052674 535478	1.06		Posted	139.76
9/13/2024		GOOGLE ADWORDS:80 US0042I90M	10		Posted	140.82
9/13/2024		STRIPE TRANSFER ST-X8B8L6A9A4D8		47.37	Posted	150.82
9/10/2024		228564 PURCHASE-RECUR NOTION LABS, INC SAN FRANCISCO CA 01460311 228564	12		Posted	103.45
9/6/2024	90324	Check	200		Posted	115.45
9/6/2024		STRIPE TRANSFER ST-R2A0O3M0F0Q2		100.1	Posted	315.45
9/6/2024		GOOGLE ACCTVERIFY US0042HVDF		0.11	Posted	215.35
9/5/2024		PAYPAL ACCTVERIFY 1036726852352	0.2		Posted	215.24
9/5/2024		625351 PURCHASE-RECUR WIX.COM 11347711 SAN FRANCISCO CA 34924469 625351	40.28		Posted	215.44
9/5/2024		930779 PURCHASE-RECUR Microsoft-G05826 msbill.info WA 03543067 930779	6.48		Posted	255.72
9/5/2024		STRIPE TRANSFER ST-M4W4X7Y2B4B4		78.53	Posted	262.2
9/5/2024		PAYPAL ACCTVERIFY 1036726852349		0.11	Posted	183.67
9/5/2024		PAYPAL ACCTVERIFY 1036726852332		0.09	Posted	183.56
9/4/2024		STRIPE TRANSFER ST-Y8P8I3A4T5T6		180.87	Posted	183.47
8/28/2024		555662 PURCHASE-SIG WIX.COM 14156399034 CA 23856581 555662	38.16		Posted	2.6
8/22/2024		449003 PURCHASE-SIG WIX.COM 14156399034 CA 44907950 449003	41.18		Posted	40.76
8/19/2024		STRIPE TRANSFER ST-D5V1D5P7N0Q7		37.84	Posted	81.94
8/16/2024		PARK FCU ACH ORIGIN JODSON GRAVES	100		Posted	44.1
8/16/2024		321428 PURCHASE-RECUR SHOPIFY* 2632939 ELK GROVE VIL IL 28006624 321428	1.06		Posted	144.1
8/14/2024		678263 PURCHASE-RECUR SQSP* INV1451076 NEW YORK NY 14539183 678263	14.4		Posted	145.16
8/13/2024		STRIPE TRANSFER ST-H0O8Z3S3S3C3		95.05	Posted	159.56
8/12/2024		492508 PURCHASE-SIG NOTION LABS, INC SAN FRANCISCO CA 02484775 492508	12		Posted	64.51
8/7/2024		STRIPE TRANSFER ST-C1Q1S8P9S0S8		47.37	Posted	76.51
8/6/2024		385098 PURCHASE-RECUR MICROSOFT#G05510 MSBILL.INFO WA 31321069 385098	19.44		Posted	29.14
8/5/2024		287069 PURCHASE-SIG WAL-MART #5297 ST MATTHEWS KY 78332679 287069	9.12		Posted	48.58
8/2/2024		PARK FCU ACH ORIGIN JODSON GRAVES	100		Posted	57.7
8/1/2024		STRIPE TRANSFER ST-Z4O3M4L1V7I1		37.84	Posted	157.7
7/30/2024		STRIPE TRANSFER ST-O8Q9Y4B7E1R7		31.16	Posted	119.86
7/15/2024		254486 PURCHASE-RECUR SQSP* INV1408849 NEW YORK NY 09273696 254486	7.2		Posted	88.7
7/10/2024		PARK FCU ACH ORIGIN JODSON GRAVES	308.58		Posted	95.9
7/8/2024		881625 PURCHASE-RECUR MICROSOFT#G05100 REDMOND WA 83074790 881625	19.44		Posted	404.48
7/3/2024		STRIPE TRANSFER ST-B6M5A2X2F7F9		227.94	Posted	423.92
6/26/2024		STRIPE TRANSFER ST-R5W7Z3I2T8Q4		31.16	Posted	195.98
6/25/2024		STRIPE TRANSFER ST-J5I7Z6T8P3G8		47.37	Posted	164.82
6/24/2024		673448 PURCHASE-RECUR SQUARESPACE 1374 NEW YORK NY 15794153 673448	12		Posted	117.45
6/24/2024		21390 PURCHASE-RECUR GOOGLE *Workspac 650-253-0000 CA 93879740 021390	9.99		Posted	129.45
6/24/2024		STRIPE TRANSFER ST-R2I8F3Y4J8C1		48.05	Posted	139.44
6/17/2024		PARK FCU ACH ORIGIN JODSON GRAVES	150		Posted	91.39
6/17/2024		4998 PURCHASE-RECUR GOOGLE *Domains 650-253-0000 CA 98922469 004998	7.2		Posted	241.39
6/6/2024		STRIPE TRANSFER ST-L4J3J8M2D7I6	130		Posted	248.59
6/6/2024		762017 PURCHASE-RECUR SUPABASE SINGAPORE SG 01537582 762017	25		Posted	378.59
6/6/2024		45979 PURCHASE-SIG Microsoft G04815 msbill.info WA 02819052 045979	19.44		Posted	403.59
6/6/2024		CROSS BORDER FEE SUPABASE SINGAPORE SG 01537582 762017	0.23		Posted	423.03
6/3/2024		STRIPE TRANSFER ST-L6V6Z7X2Z0J4		85.21	Posted	423.26
5/29/2024		STRIPE TRANSFER ST-I7G8S5B4O2Y3		31.16	Posted	338.05
5/22/2024		99373 PURCHASE-RECUR GOOGLE Workspac Mountain View CA 52608089 099373	9.99		Posted	306.89
5/17/2024		STRIPE TRANSFER ST-K4Y8U9E3B3O9		125.26	Posted	316.88
5/14/2024		STRIPE TRANSFER ST-T7O4O6Z7I2Z4		39.74	Posted	191.62
5/8/2024		PARK FCU ACH ORIGIN JODSON GRAVES	308.58		Posted	151.88
5/7/2024		STRIPE TRANSFER ST-F1F5T7O8C8M6		319.16	Posted	460.46
5/2/2024		Deposit		20	Posted	141.3
4/30/2024		Deposit		50	Posted	121.3
4/26/2024		PARK FCU ACH ORIGIN JODSON GRAVES	100		Posted	71.3
4/23/2024	1061	Check	65		Posted	171.3
4/23/2024		Deposit		160	Posted	236.3
4/10/2024		78052 PURCHASE-RECUR Patreon* Members Internet CA 25706765 078052	10		Posted	76.3
4/10/2024		54154 PURCHASE-RECUR Patreon* Members Internet CA 32626154 054154	5		Posted	86.3
4/8/2024		Deposit		190	Posted	91.3
4/2/2024		NSF/OVERDRAFT FEE	36		Posted	-98.7
4/1/2024		PARK FCU ACH ORIGIN JODSON GRAVES	200		Posted	-62.7
4/1/2024		Deposit		126	Posted	137.3
3/27/2024		470268 PURCHASE-SIG APPLE.COM/US 800-676-2775 CA 12174585 470268	99		Posted	11.3
3/27/2024		440621 PURCHASE-RECUR APPLE.COM/US 800-676-2775 CA 12174684 440621	5.94		Posted	110.3
3/15/2024		174169 PURCHASE-RECUR WWW.TRACYBABLER. MINNEAPOLIS MN 02251868 174169	157		Posted	116.24
3/11/2024		648777 PURCHASE-SIG DRI*UPRINTING VAN NUYS CA 03052441 648777	113.44		Posted	273.24
3/8/2024		Check	400		Posted	386.68
3/6/2024		76618 PURCHASE-SIG FLOSSTECH SOLUTI STAUNTON VA 12575720 076618	200		Posted	786.68
3/6/2024		379318 PURCHASE-SIG FLOSSTECH SOLUTI STAUNTON VA 12634774 379318	163.68		Posted	986.68
3/6/2024		548218 PURCHASE-SIG Microsoft G03992 msbill.info WA 04685088 548218	19.44		Posted	1150.36
3/4/2024		Deposit		300	Posted	1169.8
2/28/2024		832545 PURCHASE-SIG TEN20 DOUGLASS L LOUISVILLE KY 19707849 832545	8.89		Posted	869.8
2/28/2024		785328 PURCHASE-SIG TEN20 DOUGLASS L LOUISVILLE KY 19707831 785328	8.89		Posted	878.69
2/27/2024		PAYPAL INST XFER LOUISVILLEC	100		Posted	887.58
2/26/2024		Deposit		400	Posted	987.58
2/23/2024		Deposit		440	Posted	587.58
2/16/2024		Deposit		130	Posted	147.58
2/15/2024		PARK FCU ACH ORIGIN JODSON GRAVES	200		Posted	17.58
2/15/2024		946321 PURCHASE-SIG WWW.TRACYBABLER. MINNEAPOLIS MN 01684420 946321	157		Posted	217.58
2/9/2024		Deposit		305	Posted	374.58
2/5/2024		428165 PURCHASE-RECUR MICROSOFT#G03739 MSBILL.INFO WA 89026693 428165	23.64		Posted	69.58
2/5/2024		331938 PURCHASE-SIG FIVERR NEW YORK NY 55399693 331938	13.05		Posted	93.22
2/2/2024		845239 PURCHASE-RECUR WIX.COM 14156399034 CA 37789134 845239	159		Posted	106.27
1/30/2024		DELUXE CHECK CHECK/ACC.	34.49		Posted	265.27
1/29/2024		519939 PURCHASE-SIG FIVERR NEW YORK NY 98620150 519939	34.15		Posted	299.76
1/26/2024	9999	Check	128		Posted	333.91
1/17/2024		33741 PURCHASE-RECUR GRANTWATCH.COM BOYNTON BEACH FL 15583458 033741	90		Posted	461.91
1/12/2024		Deposit		150	Posted	551.91
1/10/2024		834796 PURCHASE-SIG THRIFT BOOKS GLO 2532752241 WA 26459537 834796	12.7		Posted	401.91
1/10/2024		PAYOUT Wixcom TRN*1*TX38467391800XT**444NC961JUOQ4CB1\RMR*IK*TX384		2.61	Posted	414.61
1/8/2024		859511 PURCHASE-SIG FLOSSTECH SOLUTI STAUNTON VA 04627325 859511	77.25		Posted	412
1/8/2024		796868 PURCHASE-RECUR Printful Inc. 10 Charlotte NC 00965027 796868	62.31		Posted	489.25
1/8/2024		10621 PURCHASE-RECUR SUPABASE SINGAPORE SG 00346236 010621	25		Posted	551.56
1/8/2024		CROSS BORDER FEE SUPABASE SINGAPORE SG 00346236 010621	0.23		Posted	576.56
1/5/2024		270277 PURCHASE-RECUR Microsoft G03534 msbill.info WA 00870086 270277	6.48		Posted	576.79
1/3/2024		124985 PURCHASE-RECUR Printful Inc. 10 Charlotte NC 08088027 124985	6.77		Posted	583.27
1/2/2024		464797 PURCHASE-SIG WIX.COM 14156399034 CA 49397503 464797	159		Posted	590.04
1/2/2024		791429 PURCHASE-RECUR WIX.COM 14156399034 CA 06606715 791429	6.36		Posted	749.04
12/29/2023		Deposit		300	Posted	755.4
12/28/2023		915241 PURCHASE-RECUR SHOPIFY* 2101565 ELK GROVE VIL IL 05721854 915241	1.06		Posted	455.4
12/26/2023		74767 PURCHASE-SIG Microsoft G03323 msbill.info WA 02531030 074767	6.48		Posted	456.46
12/18/2023		871644 PURCHASE-SIG MERCARI888-325-2 8883252168 CA 03004299 871644	13.78		Posted	462.94
12/18/2023		367664 RETURN-PIN MERCARI888-325-2 8883252168 CA 85310851 367664		13.78	Posted	476.72
12/15/2023		Deposit		275	Posted	462.94
12/14/2023		881984 PURCHASE-SIG OFFICE DEPOT #25 LOUISVILLE KY 81438259 881984	17		Posted	187.94
12/12/2023		534957 PURCHASE-PIN OFFICE DE 4515 S LOUISVILLE KY 50254701 534957	5.18		Posted	204.94
12/4/2023		Deposit		160	Posted	210.12
11/16/2023		GOOGLE ACCTVERIFY US003XMNSN		0.12	Posted	50.12
11/2/2023		APPLICATION FEE PAYMENT 0000	600		Posted	50
11/1/2023		Deposit		380	Posted	650
10/6/2023		PAYPAL ACCTVERIFY 1029815951007	0.16		Posted	270
10/6/2023		PAYPAL ACCTVERIFY 1029815951006		0.1	Posted	270.16
10/6/2023		PAYPAL ACCTVERIFY 1029815951005		0.06	Posted	270.06
10/3/2023		Deposit		270	Posted	270
